,,,,,,,,,,,,,,,,,,,,,,
初期状態,,,,,,,,,,,,,,,,,,,,,,
正解率,,予測結果,,再現率,,,,,,,,,,,,,,,,,,
0.660377358,,ラベル1,ラベル3,,,,,,,,,,,,,,,,,,,
正解ラベル,ラベル0,17,7,0.708333333,,,,,,,,,,,,,,,,,,
,ラベル1,11,18,0.620689655,,,,,,,,,,,,,,,,,,
適合率,,0.607142857,0.72,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
説明変数の変更,,,,,,,,,,,,,,,,,,,,,,
"'coal', 'crude oil'",,,,,,"'yen_gold_av','yen_platinum_av','yen_silver_av'",,,,,,"'crude oil', 'coal gas', 'liquefied natural gas'",,,,,,"'coal', 'crude oil', 'coal gas'",,,,
正解率,,予測結果,,再現率,,正解率,,予測結果,,再現率,,正解率,,予測結果,,再現率,,正解率,,予測結果,,再現率
0.716981132,,ラベル1,ラベル3,,,0.509433962,,ラベル1,ラベル3,,,0.452830189,,ラベル1,ラベル3,,,0.698113208,,ラベル1,ラベル3,
正解ラベル,ラベル0,17,7,0.708333333,,正解ラベル,ラベル0,8,16,0.333333333,,正解ラベル,ラベル0,1,23,0.041666667,,正解ラベル,ラベル0,16,8,0.666666667
,ラベル1,8,21,0.724137931,,,ラベル1,10,19,0.655172414,,,ラベル1,6,23,0.793103448,,,ラベル1,8,21,0.724137931
適合率,,0.68,0.75,,,適合率,,0.444444444,0.542857143,,,適合率,,0.142857143,0.5,,,適合率,,0.666666667,0.724137931,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,
正解率,,予測結果,,再現率,,,,,,,,,,,,,,,,,,
0.698113208,,ラベル1,ラベル3,,,,,,,,,,,,,,,,,,,
正解ラベル,ラベル0,21,6,0.777777778,,,,,,,,,,,,,,,,,,
,ラベル1,10,16,0.615384615,,,,,,,,,,,,,,,,,,
適合率,,0.677419355,0.727272727,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,
正解率,,予測結果,,再現率,,,,,,,,,,,,,,,,,,
0.679245283,,ラベル1,ラベル3,,,,,,,,,,,,,,,,,,,
正解ラベル,ラベル0,17,11,0.607142857,,,,,,,,,,,,,,,,,,
,ラベル1,6,19,0.76,,,,,,,,,,,,,,,,,,
適合率,,0.739130435,0.633333333,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,
正解率,,予測結果,,再現率,,,,,,,,,,,,,,,,,,
0.660377358,,ラベル1,ラベル3,,,,,,,,,,,,,,,,,,,
正解ラベル,ラベル0,17,8,0.68,,,,,,,,,,,,,,,,,,
,ラベル1,10,18,0.642857143,,,,,,,,,,,,,,,,,,
適合率,,0.62962963,0.692307692,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,
正解率,,予測結果,,再現率,,,,,,,,,,,,,,,,,,
0.622641509,,ラベル1,ラベル3,,,,,,,,,,,,,,,,,,,
正解ラベル,ラベル0,15,14,0.517241379,,,,,,,,,,,,,,,,,,
,ラベル1,6,18,0.75,,,,,,,,,,,,,,,,,,
適合率,,0.714285714,0.5625,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,
正解率,,予測結果,,再現率,,,,,,,,,,,,,,,,,,
0.698113208,,ラベル1,ラベル3,,,,,,,,,,,,,,,,,,,
正解ラベル,ラベル0,17,8,0.68,,,,,,,,,,,,,,,,,,
,ラベル1,8,20,0.714285714,,,,,,,,,,,,,,,,,,
適合率,,0.68,0.714285714,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
平均精度,,,,,,,,,,,,,,,,,,,,,,
正解率,,予測結果,,再現率,,,,,,,,,,,,,,,,,,
0.671698113,,ラベル1,ラベル3,,,,,,,,,,,,,,,,,,,
正解ラベル,ラベル0,17,8,0.652432403,,,,,,,,,,,,,,,,,,
,ラベル1,8,20,0.696505495,,,,,,,,,,,,,,,,,,
適合率,,0.688093027,0.665939893,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
